show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s6119,Movie,All Hallows' Eve,Charlie Vaughn,"Lexi Giovagnoli, Ashley Argota, John DeLuca, Diane Salinger, Martin Klebba, Tracey Gold, Dee Wallace, Pilot Paisley-Rose, Daniel Cooksley, Vincent Giovagnoli, Dillon Cavitt",United States,"August 1, 2017",2016,TV-G,92 min,"Children & Family Movies, Independent Movies","Instead of summoning the spirit of her dearly departed mother, a charming teen accidentally awakens a vengeful witch who wants to destroy her town."
s6120,Movie,All Light Will End,Chris Blake,"Ashley Pereira, Alexandra Harris, Ted Welch, Sam Jones III, Sarah Butler, Andy Buckley, Graham Outerbridge, Michael James Thomas, John Schuck, Aaron Munoz",United States,"February 2, 2019",2018,TV-MA,84 min,"Horror Movies, Thrillers","A horror novelist with a traumatic past returns to her childhood hometown, where she revisits her night terrors and loses sight of reality."
s6121,Movie,All the Boys Love Mandy Lane,Jonathan Levine,"Anson Mount, Edwin Hodge, Michael Welch, Brooke Bloom, Amber Heard, Aaron Himelstein, Whitney Able, Luke Grimes, Melissa Price",United States,"July 3, 2018",2006,R,91 min,Horror Movies,"During a weekend excursion to a secluded ranch, an unwelcome visitor begins picking off the randy admirers of teenage temptress Mandy Lane."
s6122,Movie,All the Devil's Men,Matthew Hope,"Milo Gibson, Sylvia Hoeks, Gbenga Akinnagbe, William Fichtner, Joseph Millson, Elliot Cowan, Perry Fitzpatrick, Warren Rusher",United Kingdom,"May 15, 2019",2018,R,100 min,Action & Adventure,A battle-scarred Special Ops military vet joins a CIA-funded assignment to take down a Russian terrorist and his trigger-happy comrades.
s6123,Movie,Alone in Berlin,Vincent Perez,"Emma Thompson, Brendan Gleeson, Daniel Brühl, Monique Chaumette, Joachim Bissmeier, Katrin Pollitt, Lars Rudolph, Uwe Preuss, Daniel Sträßer, Rainer Reiners, Mikael Persbrandt","United Kingdom, France, Germany","February 15, 2019",2016,R,103 min,Dramas,"After learning of their son's death on the battlefield, a grieving Berlin couple embark on a quietly dangerous act of resistance against Adolf Hitler."
s6124,Movie,Along Came a Spider,Lee Tamahori,"Morgan Freeman, Monica Potter, Michael Wincott, Dylan Baker, Mika Boorem, Anton Yelchin, Kim Hawthorne, Jay O. Sanders, Billy Burke, Michael Moriarty, Penelope Ann Miller","United States, Germany, Canada","October 1, 2019",2001,R,103 min,Thrillers,"When a girl is kidnapped from a prestigious prep school, a homicide detective takes the case, teaming up with young security agent."
s6125,Movie,Alpha and Omega 2: A Howl-iday Adventure,Richard Rich,"Ben Diskin, Kate Higgins, Blackie Rose, Lindsay Torrance, Liza West, Tracy Pfau, Bill Lader, Meryl Leigh, Shaun Gerardo",United States,"October 1, 2019",2013,TV-G,45 min,Children & Family Movies,"In this animated outdoor adventure, wolf couple Humphrey and Kate face a crisis when one of their three cubs disappears without explanation."
s6126,Movie,Alpha and Omega: The Legend of the Saw Tooth Cave,Richard Rich,"Debi Derryberry, Ben Diskin, Kate Higgins, Lindsay Torrance, Larry Thomas, Bill Lader, Cindy Robinson","United States, India","January 1, 2020",2014,TV-Y7,45 min,Children & Family Movies,"When a wolf pup named Runt sneaks off to explore a mysterious cave, he meets and befriends a wolf driven from her pack because she's blind."
s6128,Movie,AlphaGo,Greg Kohs,,United States,"January 1, 2018",2017,TV-G,90 min,Documentaries,"Seemingly simple but deceptively complex, the game of ""Go"" serves as the backdrop for this battle between artificial intelligence and man."
s6129,Movie,Always a Bridesmaid,Trey Haley,"Javicia Leslie, Jordan Calloway, Richard Lawson, Yvette Nicole Brown, Michelle Mitchenor, Amber Chardae Robinson, Jasmin Brown",United States,"March 3, 2020",2019,TV-14,98 min,"Comedies, Romantic Movies","Never married but always at weddings, a copy editor finally dives into the dating pool but wonders if her love story involves staying single forever."
s6130,Movie,Amar Akbar & Tony,Atul Malhotra,"Rez Kempton, Sam Vincenti, Martin Delaney, Karen David, Laura Aikman, Goldy Notay, Meera Syal, Nina Wadia, Tanveer Ghani, Amrita Acharia",United Kingdom,"June 20, 2017",2015,TV-MA,92 min,"Comedies, Dramas, International Movies","The brotherly bond between three childhood friends – one Sikh, one Muslim and one Catholic – is tested by the often comic absurdities of adulthood."
s6131,Movie,Amar Akbar Anthony,Manmohan Desai,"Vinod Khanna, Rishi Kapoor, Amitabh Bachchan, Neetu Singh, Parveen Babi, Shabana Azmi, Nirupa Roy, Pran",India,"December 31, 2019",1977,TV-14,172 min,"Action & Adventure, Classic Movies, Comedies","Abandoned in a park by their father, Amar, Akbar and Anthony grow up independently and have no knowledge of one another. They're reunited as adults when, by coincidence, they all give blood at the same hospital."
s6132,Movie,Amar's Hands,Khaled Youssef,"Ghadah Abdulrazeq, Wafaa Amer, Hassan El Raddad, Houria Farghally, Sabry Fawwaz",Egypt,"April 26, 2019",2011,TV-14,125 min,"Dramas, International Movies","To fulfill her husband’s dream to build a home, a widow sends her five children to earn money in Cairo, where their poverty tests them at every turn."
s6134,Movie,American Anarchist,Charlie Siskel,William Powell,United States,"June 23, 2017",2016,TV-MA,81 min,Documentaries,"This documentary profiles William Powell, who wrote the ""The Anarchist Cookbook"" in the early 1970s and spent his later life regretting his actions."
s6135,Movie,American Assassin,Michael Cuesta,"Dylan O'Brien, Michael Keaton, Sanaa Lathan, Shiva Negar, Taylor Kitsch, Trevor White, Navid Negahban, Scott Adkins, David Suchet, Sydney Rae White",United States,"January 31, 2020",2017,R,112 min,Action & Adventure,"After grad student Mitch Rapp suffers a tragic loss during a terrorist attack, his single-minded thirst for vengeance catches the interest of the CIA."
