show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s8648,Movie,"Twisted Trunk, Big Fat Body",,"Vijay Maurya, Naman Jain, Usha Nadkarni, Mukesh Chhabra, Prarthana Behere, Jayant Gadekar, Aditi Keskar, Murari Kumar",India,"January 15, 2017",2015,TV-14,89 min,"Dramas, International Movies","After terrorists place a bomb inside a toy Lord Ganesha, a child takes off with the dangerous doll, setting it on a course throughout all of Mumbai."
s8649,Movie,Two Graves,Gary Young,"Cathy Tyson, Katie Jarvis, David Hayman, Josh Herdman, Dave Johns, Danielle Harold, Kedar Williams-Stirling, Neal Ward",United Kingdom,"May 1, 2019",2018,TV-MA,80 min,Thrillers,"A doctor and a drug addict kidnap the son of a local gangster, seeking revenge for the death of a loved one."
s8650,Movie,Two Lovers and a Bear,Kim Nguyen,"Dane DeHaan, Tatiana Maslany, Gordon Pinsent, John Ralston",Canada,"May 2, 2017",2016,R,95 min,"Dramas, Independent Movies, Romantic Movies",A troubled couple living near the North Pole begins a perilous journey south in an attempt to find peace and vanquish ghosts from the past.
s8651,Movie,Tyke Elephant Outlaw,"Susan Lambert, Stefan Moore",,Australia,"December 1, 2015",2015,TV-14,78 min,"Documentaries, International Movies","This documentary recounts a 1994 incident in Honolulu in which a circus elephant attacked and killed its trainer, then ran loose on the city streets."
s8652,Movie,Tyson,James Toback,"Mike Tyson, Trevor Berbick","United States, France","March 1, 2019",2008,R,90 min,"Documentaries, Sports Movies","In this surprisingly emotional documentary, heavyweight champ Mike Tyson analyzes the controversies surrounding his career and turbulent private life."
s8653,Movie,Ugly,Anurag Kashyap,"Rahul Bhat, Ronit Roy, Tejaswini Kolhapure, Vineet Kumar Singh, Surveen Chawla, Siddhant Kapoor, Girish Kulkarni, Abir Goswami, Madhavi Singh, Anshikaa Shrivastava, Murari Kumar, Sandesh Jadhav",India,"March 1, 2017",2013,NR,125 min,"Dramas, International Movies, Thrillers","When a 10-year-old goes missing while her father, an actor, is out on an audition, the girl's stepfather – Mumbai's police chief – leads the search."
s8655,Movie,Una,Benedict Andrews,"Rooney Mara, Ben Mendelsohn, Riz Ahmed, Ruby Stokes, Natasha Little, Tara Fitzgerald, Tobias Menzies","United Kingdom, Canada, United States","April 1, 2018",2016,R,94 min,"Dramas, International Movies","A young woman tracks down the older man who preyed on her as a child, forcing them both to confront the damage done by what happened 15 years earlier."
s8656,Movie,Unaccompanied Minors,Paul Feig,"Lewis Black, Wilmer Valderrama, Tyler James Williams, Gia Mantegna, Dyllan Christopher, Brett Kelly, Quinn Shephard, Paget Brewster, Rob Corddry, Dominique Saldaña",United States,"October 1, 2019",2006,PG,90 min,"Children & Family Movies, Comedies","Five disparate kids, snowed in at the airport on Christmas Eve, try to get back to their families and outsmart a disgruntled airport official."
s8657,Movie,Unacknowledged,Michael Mazzola,,United States,"August 21, 2017",2017,TV-MA,104 min,Documentaries,Noted UFO expert Dr. Steven Greer interviews witnesses and presents classified documents concerning the existence of extraterrestrials.
s8658,Movie,Under an Arctic Sky,Chris Burkard,"Chris Burkard, Sam Hammer, Heidar Logi, Elli Thor Magnusson, Ingo Olsen, Timmy Reyes, Justin Quintal, Steve Hawk, Sigurdur Jonsson, Mark Renneker",United States,"December 15, 2017",2017,TV-14,40 min,"Action & Adventure, Documentaries, Sports Movies","Six fearless surfers travel to the north coast of Iceland to ride waves unlike anything they've ever experienced, captured with high-tech cameras."
