show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2305,Movie,#AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto","Helen Mirren, Gengher Gatti",Italy,"July 1, 2020",2019,TV-14,95 min,"Documentaries, International Movies","Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren."
s2309,Movie,Adú,Salvador Calvo,"Luis Tosar, Anna Castillo, Álvaro Cervantes, Miquel Fernández, Jesús Carroza, Moustapha Oumarou, Adam Nourou, Zayidiyya Dissou, Ana Wagener, Nora Navas",Spain,"July 1, 2020",2020,TV-MA,120 min,"Dramas, International Movies","Near a Spanish town in northern Africa, a child takes a painful journey, a father reconnects with his daughter and a coast guard is guilt stricken."
s2310,Movie,Ali Baba ve 7 Cüceler,Cem Yılmaz,"Cem Yılmaz, Irina Ivkina, Çetin Altay, Zafer Algöz, Can Yılmaz, Bahtiyar Engin, Fevzi Gökçe, Yosi Mizrahi",Turkey,"July 1, 2020",2015,TV-MA,115 min,"Action & Adventure, Comedies, International Movies","A garden gnome vendor and his brother-in-law attend a trade fair in Sofia, where they accidentally stumble into shenanigans involving a mafia boss."
s2311,Movie,David Foster: Off the Record,Barry Avrich,David Foster,Canada,"July 1, 2020",2019,TV-MA,107 min,"Documentaries, Music & Musicals","From child prodigy to iconic music producer, David Foster shares the stories behind his success with rare footage and interviews with his collaborators."
s2312,Movie,Double Jeopardy,Bruce Beresford,"Tommy Lee Jones, Ashley Judd, Bruce Greenwood, Annabeth Gish, Roma Maffia, Jay Brazeau, Michael Gaston, Daniel Lapaine","United States, Germany, Canada","July 1, 2020",1999,R,105 min,Thrillers,"After being framed and serving time for her husband's supposed murder, Libby decides to kill her ""late"" husband for good."
s2313,Movie,Pek Yakında,Cem Yılmaz,"Cem Yılmaz, Tülin Özen, Ozan Güven, Özkan Uğur, Zafer Algöz, Cengiz Bozkurt, Cahit Gök, Bahtiyar Engin, Mazhar Alanson, Metin Coşkun, Tuğrul Tülek",Turkey,"July 1, 2020",2014,TV-MA,134 min,"Comedies, International Movies","An ex-movie extra plans to win his wife back by making a fantasy film, but neither he nor his crew has a knack for filmmaking."
s2315,Movie,Stardust,Matthew Vaughn,"Claire Danes, Michelle Pfeiffer, Robert De Niro, Charlie Cox, Sienna Miller, Ricky Gervais, Jason Flemyng, Rupert Everett, Peter O'Toole, Mark Strong, Kate Magowan, Ian McKellen","United Kingdom, United States","July 1, 2020",2007,PG-13,128 min,"Action & Adventure, International Movies, Romantic Movies","To win his true love's heart, wide-eyed Tristan Thorn journeys to a forbidden realm to retrieve a fallen star that has taken human form."
s2316,Movie,The F**k-It List,Michael Duggan,"Eli Brown, Madison Iseman, Marcus Scribner, Jerry O'Connell, Karan Brar, Tristan Lake Leabu, Peter Facinelli, Natalie Zea",United States,"July 1, 2020",2019,TV-MA,103 min,Comedies,"After a prank blows up a studious high school senior's life, he shares a list of certain things he wishes he'd done differently — and maybe still can."
s2317,Movie,The Silence of Others,"Almudena Carracedo, Robert Bahar",,"Spain, France, Canada, United States","July 1, 2020",2019,TV-14,96 min,"Documentaries, International Movies","Filmed over six years, this documentary captures the struggles of victims who suffered abuse under Gen. Francisco Franco's regime as they seek justice."
s2318,Movie,Total Recall,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Michael Ironside, Ronny Cox, Marshall Bell, Michael Champion, Mel Johnson Jr., Roy Brocksmith, Rosemary Dunsmore","United States, Mexico","July 1, 2020",1990,R,114 min,"Action & Adventure, Sci-Fi & Fantasy","After getting a memory implant, working stiff Douglas Quaid discovers he might actually be a secret agent embroiled in a violent insurrection on Mars."
s2320,Movie,Under the Riccione Sun,Younuts!,"Cristiano Caccamo, Lorenzo Zurzolo, Ludovica Martino, Davide Calgaro, Matteo Oscar Giuggioli, Saul Nanni, Fotinì Peluso, Claudia Tranchese, Isabella Ferrari, Luca Ward, Andrea Roncato, Giulia Schiavo, Maria Luisa De Crescenzo, Sergio Ruggeri, Rosanna Sapia, Tommaso Paradiso",Italy,"July 1, 2020",2020,TV-MA,102 min,"Comedies, International Movies, Romantic Movies","While vacationing on the beaches of Riccione, a group of teens become friends and help each other manage romantic relationships and summer crushes."
s2322,Movie,George Lopez: We'll Do It For Half,Troy Miller,George Lopez,United States,"June 30, 2020",2020,TV-MA,52 min,Stand-Up Comedy,"Comedian George Lopez tackles the future and the past of Latinx culture in America, touching on immigration, his tough relatives, aging and much more."
s2324,Movie,The Mirror Boy,Obi Emelonye,"Edward Kagutuzi, Genevieve Nnaji, Osita Iheme, Fatima Jabbe, Victor Carvalho, Felix Ceesay, John Charles Njie, Momodu Musa Ceesay","United Kingdom, Nigeria","June 30, 2020",2011,TV-14,86 min,"Action & Adventure, Dramas, International Movies","A young boy is taken to his mother's birth home in Africa, where a mystical adventure in an ominous forest turns into a journey of self-discovery."
s2325,Movie,#FriendButMarried 2,Rako Prijanto,"Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata",Indonesia,"June 28, 2020",2020,TV-G,104 min,"Dramas, International Movies, Romantic Movies","As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage."
s2326,Movie,Skin,Daniel Effiong,Beverly Naya,Nigeria,"June 28, 2020",2019,TV-MA,76 min,"Documentaries, International Movies","On a quest to find beauty in all complexions, actress Beverly Naya travels to her home country of Nigeria and explores colorism's impact on society."
